,PLAT,NET,NAME,REPTYPE,LAT,LON,CLIMATE SUMMARY,AVAILABILITY,STATION OPS,OP MODE,TYPE,MOVING
89,YABA,ICAO,ALBANY,METAR,-34.943333,117.808889,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
90,KALB,ICAO,ALBANY INTL,METAR,42.748267,-73.801692,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
91,LIMG,ICAO,ALBENGA,METAR,44.050608,8.127428,LEGACY_OCDS,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
92,KOAJ,ICAO,ALBERT J ELLIS,METAR,34.829164,-77.612139,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
93,KAEL,ICAO,ALBERT LEA MUNI,METAR,43.681514,-93.367239,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
94,KSPG,ICAO,ALBERT WHITTED,METAR,27.765111,-82.626972,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
95,KFEP,ICAO,ALBERTUS,METAR,42.246158,-89.581986,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
96,K8A0,ICAO,ALBERTVILLE MUNI THOMAS J BRUMLIK FLD,METAR,34.229111,-86.255758,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
97,KBVN,ICAO,ALBION MUNI,METAR,41.728578000000006,-98.055761,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
98,KABQ,ICAO,ALBUQUERQUE INTL,METAR,35.0401944,-106.609194,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
99,YMAY,ICAO,ALBURY,METAR,-36.067778,146.958056,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
100,SLAL,ICAO,ALCANTARI ARPT SUCRE YAMPARAEZ,METAR,-19.25,-65.15,UNAVAILABLE,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
101,LERI,ICAO,ALCANTARILLA,METAR,37.951111,-1.230319,LEGACY_OCDS,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
102,EGAA,ICAO,ALDERGROVE,METAR,54.6575,-6.215833,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
103,EGJA,ICAO,ALDERNEY,METAR,49.706111,-2.214722,UNAVAILABLE,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
104,CYLT,ICAO,ALERT,METAR,82.517778,-62.280556,LIMCLIM,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
105,KISW,ICAO,ALEXANDER FLD SOUTH WOOD CO,METAR,44.360339,-89.83896899999999,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
106,HEAX,ICAO,ALEXANDRIA INTL,METAR,31.183903000000004,29.948889,JMCLIM,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
107,KAEX,ICAO,ALEXANDRIA INTL,METAR,31.327372,-92.548556,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
108,LGSK,ICAO,ALEXANDROS PAPADIAMANTIS,METAR,39.1771,23.503675,LEGACY_OCDS,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
109,SPNC,ICAO,ALFEREZ FAP D F FERNANDINI,METAR,-9.878811,-76.204797,LEGACY_OCDS,NEW SITE,PART TIME,UNKNOWN,SFC_OBS,1
110,SKCL,ICAO,ALFONSO BONILLA ARAGON INTL,METAR,3.543222,-76.38158299999999,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
111,SKVP,ICAO,ALFONSO LOPEZ PUMAREJO,METAR,10.435042,-73.24950600000001,LIMCLIM,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
112,SKLT,ICAO,ALFREDO VASQUEZ COBO,METAR,-4.193175,-69.942658,LIMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
113,LEAG,ICAO,ALGECIRAS HELIPORT,METAR,36.1333333,-5.4333333,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
114,LIEA,ICAO,ALGHERO,METAR,40.632133,8.290772,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
115,KAXA,ICAO,ALGONA MUNI,METAR,43.077911,-94.271992,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
116,CTNK,ICAO,ALGONQUIN PARK EAST GATE,METAR,45.5333333,-78.2666666,UNAVAILABLE,DATA INCOMPLETE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
117,CTNK,ICAO,ALGONQUIN PARK EAST GATE,METAR,45.5333333,-78.2666666,UNAVAILABLE,DATA INCOMPLETE,FULL TIME,UNKNOWN,SFC_OBS,1
118,OKAS,ICAO,ALI AL SALEM AB,METAR,29.346742,47.520753000000006,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUGMENTED,SFC_OBS,1
